AcqMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,1045,392,358,447,410,408,408,374,355,392,452,518,387,305,267,319,273,316,303,287,274,332,319,427,218
2010-01,386,85,119,119,110,115,105,91,114,133,121,65,81,66,71,60,86,74,69,73,93,72,88,29,0
2010-02,364,109,83,110,93,76,79,103,100,106,48,47,55,70,49,74,67,61,53,85,90,62,23,0,0
2010-03,436,95,113,103,100,87,105,130,126,50,50,62,84,72,83,74,76,69,74,89,93,33,0,0,0
2010-04,291,67,58,47,54,67,79,76,33,34,24,42,40,47,46,43,41,41,50,61,19,0,0,0,0
2010-05,254,49,45,49,48,66,56,33,17,22,31,35,38,41,27,33,36,42,40,12,0,0,0,0,0
2010-06,269,58,53,55,62,76,35,25,22,32,28,38,42,35,30,33,37,55,16,0,0,0,0,0,0
2010-07,183,38,37,52,55,28,21,28,26,22,25,29,25,26,37,32,45,17,0,0,0,0,0,0,0
2010-08,158,39,50,51,29,21,16,22,23,21,22,20,27,32,29,32,11,0,0,0,0,0,0,0,0
2010-09,242,73,63,34,22,25,34,24,30,34,31,25,52,43,43,13,0,0,0,0,0,0,0,0,0
2010-10,380,113,61,49,35,34,51,54,43,35,41,49,74,88,30,0,0,0,0,0,0,0,0,0,0
2010-11,322,68,31,34,30,30,44,35,28,29,37,48,85,25,0,0,0,0,0,0,0,0,0,0,0
2010-12,77,9,4,7,9,6,4,7,5,2,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,71,15,15,14,15,11,11,9,8,17,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,123,25,21,23,27,19,21,19,20,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,178,43,43,40,40,30,39,40,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,105,28,22,21,21,26,21,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,108,29,27,19,24,23,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,108,29,24,30,24,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,102,24,31,30,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,106,35,33,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,187,64,73,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,221,74,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,192,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
